NR	syscall name	references	%r7	arg0 (%r0)	arg1 (%r1)	arg2 (%r2)	arg3 (%r3)	arg4 (%r4)	arg5 (%r5)
354	timerfd_gettime	man/ cs/	0x162	int ufd	struct __kernel_itimerspec *otmr	-	-	-	-
355	signalfd4	man/ cs/	0x163	int ufd	sigset_t *user_mask	size_t sizemask	int flags	-	-
356	eventfd2	man/ cs/	0x164	unsigned int count	int flags	-	-	-	-
357	epoll_create1	man/ cs/	0x165	int flags	-	-	-	-	-
358	dup3	man/ cs/	0x166	unsigned int oldfd	unsigned int newfd	int flags	-	-	-
359	pipe2	man/ cs/	0x167	int *fildes	int flags	-	-	-	-
360	inotify_init1	man/ cs/	0x168	int flags	-	-	-	-	-
361	preadv	man/ cs/	0x169	unsigned long fd	const struct iovec *vec	unsigned long vlen	unsigned long pos_l	unsigned long pos_h	-
362	pwritev	man/ cs/	0x16a	unsigned long fd	const struct iovec *vec	unsigned long vlen	unsigned long pos_l	unsigned long pos_h	-
363	rt_tgsigqueueinfo	man/ cs/	0x16b	pid_t tgid	pid_t pid	int sig	siginfo_t *uinfo	-	-
364	perf_event_open	man/ cs/	0x16c	struct perf_event_attr *attr_uptr	pid_t pid	int cpu	int group_fd	unsigned long flags	-
365	recvmmsg	man/ cs/	0x16d	int fd	struct mmsghdr *msg	unsigned int vlen	unsigned flags	struct __kernel_timespec *timeout	-
366	accept4	man/ cs/	0x16e	int	struct sockaddr *	int *	int	-	-
367	fanotify_init	man/ cs/	0x16f	unsigned int flags	unsigned int event_f_flags	-	-	-	-
368	fanotify_mark	man/ cs/	0x170	int fanotify_fd	unsigned int flags	u64 mask	int fd	const char *pathname	-
369	prlimit64	man/ cs/	0x171	pid_t pid	unsigned int resource	const struct rlimit64 *new_rlim	struct rlimit64 *old_rlim	-	-
370	name_to_handle_at	man/ cs/	0x172	int dfd	const char *name	struct file_handle *handle	void *mnt_id	int flag	-
371	open_by_handle_at	man/ cs/	0x173	int mountdirfd	struct file_handle *handle	int flags	-	-	-
372	clock_adjtime	man/ cs/	0x174	clockid_t which_clock	struct __kernel_timex *tx	-	-	-	-
373	syncfs	man/ cs/	0x175	int fd	-	-	-	-	-
374	sendmmsg	man/ cs/	0x176	int fd	struct mmsghdr *msg	unsigned int vlen	unsigned flags	-	-
375	setns	man/ cs/	0x177	int fd	int nstype	-	-	-	-
376	process_vm_readv	man/ cs/	0x178	pid_t pid	const struct iovec *lvec	unsigned long liovcnt	const struct iovec *rvec	unsigned long riovcnt	unsigned long flags
377	process_vm_writev	man/ cs/	0x179	pid_t pid	const struct iovec *lvec	unsigned long liovcnt	const struct iovec *rvec	unsigned long riovcnt	unsigned long flags
378	kcmp	man/ cs/	0x17a	pid_t pid1	pid_t pid2	int type	unsigned long idx1	unsigned long idx2	-
379	finit_module	man/ cs/	0x17b	int fd	const char *uargs	int flags	-	-	-
380	sched_setattr	man/ cs/	0x17c	pid_t pid	struct sched_attr *attr	unsigned int flags	-	-	-
381	sched_getattr	man/ cs/	0x17d	pid_t pid	struct sched_attr *attr	unsigned int size	unsigned int flags	-	-
382	renameat2	man/ cs/	0x17e	int olddfd	const char *oldname	int newdfd	const char *newname	unsigned int flags	-
383	seccomp	man/ cs/	0x17f	unsigned int op	unsigned int flags	void *uargs	-	-	-
384	getrandom	man/ cs/	0x180	char *buf	size_t count	unsigned int flags	-	-	-
385	memfd_create	man/ cs/	0x181	const char *uname_ptr	unsigned int flags	-	-	-	-
386	bpf	man/ cs/	0x182	int cmd	union bpf_attr *attr	unsigned int size	-	-	-
387	execveat	man/ cs/	0x183	int dfd	const char *filename	const char *const *argv	const char *const *envp	int flags	-
388	userfaultfd	man/ cs/	0x184	int flags	-	-	-	-	-
389	membarrier	man/ cs/	0x185	int cmd	unsigned int flags	int cpu_id	-	-	-
390	mlock2	man/ cs/	0x186	unsigned long start	size_t len	int flags	-	-	-
391	copy_file_range	man/ cs/	0x187	int fd_in	loff_t *off_in	int fd_out	loff_t *off_out	size_t len	unsigned int flags
392	preadv2	man/ cs/	0x188	unsigned long fd	const struct iovec *vec	unsigned long vlen	unsigned long pos_l	unsigned long pos_h	rwf_t flags
393	pwritev2	man/ cs/	0x189	unsigned long fd	const struct iovec *vec	unsigned long vlen	unsigned long pos_l	unsigned long pos_h	rwf_t flags
394	pkey_mprotect	man/ cs/	0x18a	unsigned long start	size_t len	unsigned long prot	int pkey	-	-
395	pkey_alloc	man/ cs/	0x18b	unsigned long flags	unsigned long init_val	-	-	-	-
396	pkey_free	man/ cs/	0x18c	int pkey	-	-	-	-	-
397	statx	man/ cs/	0x18d	int dfd	const char *path	unsigned flags	unsigned mask	struct statx *buffer	-
398	rseq	man/ cs/	0x18e	struct rseq *rseq	uint32_t rseq_len	int flags	uint32_t sig	-	-
399	io_pgetevents	man/ cs/	0x18f	aio_context_t ctx_id	long min_nr	long nr	struct io_event *events	struct __kernel_timespec *timeout	const struct __aio_sigset *sig
400	migrate_pages	man/ cs/	0x190	pid_t pid	unsigned long maxnode	const unsigned long *from	const unsigned long *to	-	-
401	kexec_file_load	man/ cs/	0x191	int kernel_fd	int initrd_fd	unsigned long cmdline_len	const char *cmdline_ptr	unsigned long flags	-
402	not implemented		0x192						
403	clock_gettime64	man/ cs/	0x193	?	?	?	?	?	?
404	clock_settime64	man/ cs/	0x194	?	?	?	?	?	?
405	clock_adjtime64	man/ cs/	0x195	?	?	?	?	?	?
406	clock_getres_time64	man/ cs/	0x196	?	?	?	?	?	?
407	clock_nanosleep_time64	man/ cs/	0x197	?	?	?	?	?	?
408	timer_gettime64	man/ cs/	0x198	?	?	?	?	?	?
409	timer_settime64	man/ cs/	0x199	?	?	?	?	?	?
410	timerfd_gettime64	man/ cs/	0x19a	?	?	?	?	?	?
411	timerfd_settime64	man/ cs/	0x19b	?	?	?	?	?	?
412	utimensat_time64	man/ cs/	0x19c	?	?	?	?	?	?
413	pselect6_time64	man/ cs/	0x19d	?	?	?	?	?	?
414	ppoll_time64	man/ cs/	0x19e	?	?	?	?	?	?
415	not implemented		0x19f						
416	io_pgetevents_time64	man/ cs/	0x1a0	?	?	?	?	?	?
417	recvmmsg_time64	man/ cs/	0x1a1	?	?	?	?	?	?
418	mq_timedsend_time64	man/ cs/	0x1a2	?	?	?	?	?	?
419	mq_timedreceive_time64	man/ cs/	0x1a3	?	?	?	?	?	?
420	semtimedop_time64	man/ cs/	0x1a4	?	?	?	?	?	?
421	rt_sigtimedwait_time64	man/ cs/	0x1a5	?	?	?	?	?	?
422	futex_time64	man/ cs/	0x1a6	?	?	?	?	?	?
423	sched_rr_get_interval_time64	man/ cs/	0x1a7	?	?	?	?	?	?
424	pidfd_send_signal	man/ cs/	0x1a8	int pidfd	int sig	siginfo_t *info	unsigned int flags	-	-
425	io_uring_setup	man/ cs/	0x1a9	u32 entries	struct io_uring_params *p	-	-	-	-
426	io_uring_enter	man/ cs/	0x1aa	unsigned int fd	u32 to_submit	u32 min_complete	u32 flags	const void *argp	size_t argsz
427	io_uring_register	man/ cs/	0x1ab	unsigned int fd	unsigned int op	void *arg	unsigned int nr_args	-	-
428	open_tree	man/ cs/	0x1ac	int dfd	const char *path	unsigned flags	-	-	-
429	move_mount	man/ cs/	0x1ad	int from_dfd	const char *from_path	int to_dfd	const char *to_path	unsigned int ms_flags	-
430	fsopen	man/ cs/	0x1ae	const char *fs_name	unsigned int flags	-	-	-	-
431	fsconfig	man/ cs/	0x1af	int fs_fd	unsigned int cmd	const char *key	const void *value	int aux	-
432	fsmount	man/ cs/	0x1b0	int fs_fd	unsigned int flags	unsigned int ms_flags	-	-	-
433	fspick	man/ cs/	0x1b1	int dfd	const char *path	unsigned int flags	-	-	-
434	pidfd_open	man/ cs/	0x1b2	pid_t pid	unsigned int flags	-	-	-	-
435	clone3	man/ cs/	0x1b3	struct clone_args *uargs	size_t size	-	-	-	-
436	close_range	man/ cs/	0x1b4	unsigned int fd	unsigned int max_fd	unsigned int flags	-	-	-
437	not implemented		0x1b5						
438	not implemented		0x1b6						
439	faccessat2	man/ cs/	0x1b7	int dfd	const char *filename	int mode	int flags	-	-
983041	ARM_breakpoint	man/ cs/	0xf0001	?	?	?	?	?	?
983042	ARM_cacheflush	man/ cs/	0xf0002	?	?	?	?	?	?
